epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
27.0,2160,0.0065,3.7889182058047494e-05,2160,2.728626012802124,0.73,0.707550824953202,0.7700786163522012,0.73
28.0,2240,0.0073,3.736147757255937e-05,2240,3.2635581493377686,0.68,0.6549115646258504,0.7331017067223964,0.68
29.0,2320,0.0076,3.6833773087071246e-05,2320,2.9262466430664062,0.7,0.6794,0.7477718802936194,0.7
30.0,2400,0.0021,3.6306068601583115e-05,2400,2.6192502975463867,0.73,0.7129080476638135,0.7654112554112554,0.73
31.0,2480,0.0051,3.5778364116094984e-05,2480,2.8172411918640137,0.73,0.707550824953202,0.7700786163522012,0.73
32.0,2560,0.0036,3.525065963060687e-05,2560,2.849752902984619,0.71,0.689422084623323,0.7550227272727272,0.71
33.0,2640,0.0008,3.4722955145118736e-05,2640,2.653552770614624,0.72,0.6988718766613505,0.7573333333333333,0.72
34.0,2720,0.0069,3.4195250659630605e-05,2720,3.0364208221435547,0.7,0.6737069615725078,0.75164732066427,0.7
35.0,2800,0.0098,3.366754617414248e-05,2800,2.9131317138671875,0.7,0.6794,0.7477718802936194,0.7
36.0,2880,0.003,3.313984168865436e-05,2880,2.5637993812561035,0.7,0.6805654338549075,0.7240778474399164,0.7
37.0,2960,0.0016,3.2612137203166226e-05,2960,3.1354072093963623,0.72,0.6930220149391482,0.7620185185185185,0.72
38.0,3040,0.0029,3.20844327176781e-05,3040,3.176210403442383,0.7,0.6746000173265182,0.7465102339181287,0.7
39.0,3120,0.0042,3.155672823218998e-05,3120,2.9913690090179443,0.7,0.6731694235588972,0.7475345065562456,0.7
40.0,3200,0.0004,3.102902374670185e-05,3200,2.737514019012451,0.71,0.6931861545756283,0.7549407114624507,0.71
41.0,3280,0.0124,3.0501319261213723e-05,3280,2.978266954421997,0.71,0.6838870944860631,0.7513348653442992,0.71
