weight_0,weighted_f1
0.0,0.7764052795031056
0.02,0.7764052795031056
0.04,0.8152529518528859
0.06,0.8152529518528859
0.08,0.8152529518528859
0.1,0.8152529518528859
0.12,0.8152529518528859
0.14,0.8152529518528859
0.16,0.8152529518528859
0.18,0.8152529518528859
0.2,0.8152529518528859
0.22,0.8152529518528859
0.24,0.8152529518528859
0.26,0.8152529518528859
0.28,0.8152529518528859
0.3,0.8152529518528859
0.32,0.8152529518528859
0.34,0.8152529518528859
0.36,0.8152529518528859
0.38,0.8152529518528859
0.4,0.8152529518528859
0.42,0.8152529518528859
0.44,0.8152529518528859
0.46,0.8152529518528859
0.48,0.8152529518528859
0.5,0.8152529518528859
0.52,0.8152529518528859
0.54,0.8152529518528859
0.56,0.8152529518528859
0.58,0.8152529518528859
0.6,0.8152529518528859
0.62,0.8152529518528859
0.64,0.8152529518528859
0.66,0.8152529518528859
0.68,0.8152529518528859
0.7000000000000001,0.8152529518528859
0.72,0.8152529518528859
0.74,0.8152529518528859
0.76,0.8149682571504946
0.78,0.8149682571504946
0.8,0.8149682571504946
0.8200000000000001,0.8149682571504946
0.84,0.8149682571504946
0.86,0.8149682571504946
0.88,0.8149682571504946
0.9,0.8149682571504946
0.92,0.8149682571504946
0.9400000000000001,0.8149682571504946
0.96,0.8149682571504946
0.98,0.8149682571504946
1.0,0.8149682571504946
1.02,0.8149682571504946
1.04,0.8149682571504946
1.06,0.8149682571504946
1.08,0.8149682571504946
1.1,0.8149682571504946
1.12,0.8149682571504946
1.1400000000000001,0.8149682571504946
1.16,0.8149682571504946
1.18,0.8149682571504946
1.2,0.8149682571504946
1.22,0.8149682571504946
1.24,0.8149682571504946
1.26,0.8149682571504946
1.28,0.8149682571504946
1.3,0.8149682571504946
1.32,0.8149682571504946
1.34,0.8149682571504946
1.36,0.8149682571504946
1.3800000000000001,0.8149682571504946
1.4000000000000001,0.8149682571504946
1.42,0.8149682571504946
1.44,0.8149682571504946
1.46,0.8149682571504946
1.48,0.8052246300211416
1.5,0.8052246300211416
1.52,0.8055263352457562
1.54,0.8055708556149732
1.56,0.8055708556149732
1.58,0.8055708556149732
1.6,0.8055708556149732
1.62,0.8055708556149732
1.6400000000000001,0.8055708556149732
1.6600000000000001,0.8055708556149732
1.68,0.8055708556149732
1.7,0.8055708556149732
1.72,0.8055708556149732
1.74,0.8055708556149732
1.76,0.8055708556149732
1.78,0.8055708556149732
1.8,0.8055708556149732
1.82,0.8055708556149732
1.84,0.8055708556149732
1.86,0.8055708556149732
1.8800000000000001,0.8055708556149732
1.9000000000000001,0.8055708556149732
1.92,0.8055708556149732
1.94,0.8055708556149732
1.96,0.8055708556149732
1.98,0.8055708556149732
2.0,0.8055708556149732
