epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,80,1.2435,3.9000000000000006e-05,80,1.2961914539337158,0.4,0.22857142857142854,0.16,0.4
2.0,160,1.1476,4.962820512820513e-05,160,1.20941162109375,0.41,0.2755077658303465,0.316,0.41
3.0,240,0.7336,4.9121794871794876e-05,240,1.1310875415802002,0.58,0.5448088381330686,0.5871212121212122,0.58
4.0,320,0.4592,4.860897435897436e-05,320,1.169716238975525,0.65,0.6292779078844652,0.6980547557018145,0.65
5.0,400,0.3225,4.809615384615385e-05,400,1.18052077293396,0.66,0.6388850748891983,0.7031361424002225,0.66
6.0,480,0.2473,4.7583333333333336e-05,480,1.2006508111953735,0.68,0.6555636412459721,0.7387917350848384,0.68
7.0,560,0.2008,4.707051282051282e-05,560,1.1903401613235474,0.69,0.6766107584582162,0.7324082167832168,0.69
8.0,640,0.1858,4.655769230769231e-05,640,1.3034396171569824,0.67,0.6574653706085134,0.7154284930755519,0.67
9.0,720,0.1373,4.6044871794871795e-05,720,1.3478469848632812,0.7,0.6853575831470569,0.7390151515151514,0.7
10.0,800,0.1235,4.553846153846154e-05,800,1.5396729707717896,0.68,0.6602024059154619,0.7201929824561404,0.68
11.0,880,0.0931,4.502564102564103e-05,880,1.902315378189087,0.72,0.6883151902526715,0.7600314465408805,0.72
12.0,960,0.0832,4.451282051282051e-05,960,1.4959701299667358,0.68,0.6672214681694889,0.7249523025993615,0.68
13.0,1040,0.0574,4.4000000000000006e-05,1040,1.536441683769226,0.73,0.726667092379736,0.7704804990446218,0.73
14.0,1120,0.057,4.348717948717949e-05,1120,1.9060275554656982,0.7,0.6772448979591837,0.7591280941280942,0.7
15.0,1200,0.0298,4.297435897435897e-05,1200,1.9624825716018677,0.74,0.7232398892467543,0.7809200466200467,0.74
16.0,1280,0.0329,4.2461538461538465e-05,1280,1.984410285949707,0.73,0.7137163647163648,0.7724088852324147,0.73
17.0,1360,0.0296,4.194871794871795e-05,1360,2.300483226776123,0.68,0.6552040816326532,0.7345826395826396,0.68
18.0,1440,0.0198,4.143589743589744e-05,1440,2.3389365673065186,0.7,0.6761330049261085,0.7412673858590125,0.7
19.0,1520,0.0231,4.0923076923076925e-05,1520,2.141493320465088,0.71,0.6857809109129864,0.7561563599798895,0.71
20.0,1600,0.0263,4.041025641025641e-05,1600,2.542808771133423,0.69,0.6674154952598889,0.7353418803418803,0.69
21.0,1680,0.0113,3.98974358974359e-05,1680,2.6791248321533203,0.7,0.6750014361747064,0.7384954648526078,0.7
22.0,1760,0.0108,3.9384615384615384e-05,1760,2.415372610092163,0.71,0.6918103448275862,0.7538789435069699,0.71
23.0,1840,0.014,3.887179487179488e-05,1840,2.2596046924591064,0.71,0.6946819546819547,0.7474025974025974,0.71
24.0,1920,0.0043,3.835897435897436e-05,1920,2.3754231929779053,0.72,0.7059862769746492,0.7625330516559902,0.72
25.0,2000,0.0076,3.784615384615385e-05,2000,2.608311176300049,0.71,0.6863123692786615,0.7543253968253968,0.71
26.0,2080,0.0185,3.733333333333334e-05,2080,2.5415422916412354,0.69,0.668632317290772,0.7413703703703703,0.69
27.0,2160,0.0063,3.682051282051282e-05,2160,2.643569231033325,0.68,0.6560143593519883,0.7400064263222158,0.68
28.0,2240,0.0014,3.630769230769231e-05,2240,2.7839527130126953,0.68,0.6569810556097189,0.7258598808598807,0.68
29.0,2320,0.0079,3.57948717948718e-05,2320,2.646099328994751,0.69,0.6782057777606073,0.7369232293868921,0.69
30.0,2400,0.0014,3.5282051282051283e-05,2400,2.569113254547119,0.72,0.7083040935672515,0.7565151515151514,0.72
