metric_type,epoch,fold_number,fold_specific_value,avg_train_loss,avg_eval_loss,avg_eval_accuracy,avg_eval_f1_weighted,std_eval_f1_weighted,avg_eval_precision_weighted,avg_eval_recall_weighted
averaged_per_epoch,1.0,,,1.36404,1.3205370903015137,0.398,0.22873949579831931,0.00037580974411761,0.1605,0.398
averaged_per_epoch,2.0,,,1.2817,1.2644511461257935,0.394,0.2448690460000129,0.039100286609394456,0.2403758937691522,0.394
averaged_per_epoch,3.0,,,1.23056,1.1861245155334472,0.472,0.3815639254569282,0.0960674192344655,0.3542990541592502,0.472
averaged_per_epoch,4.0,,,1.03674,1.107658588886261,0.488,0.40167498848381145,0.09410546003199462,0.4709248186957996,0.488
averaged_per_epoch,5.0,,,0.75468,1.1298953771591187,0.5519999999999999,0.5155238736397282,0.10678360467558151,0.5245592446723218,0.5519999999999999
averaged_per_epoch,6.0,,,0.41811999999999994,1.1808083057403564,0.626,0.6195937061663295,0.04236031157447662,0.636495717274662,0.626
averaged_per_epoch,7.0,,,0.23271999999999998,1.5959023475646972,0.602,0.5731916290988062,0.057238898572376073,0.6333878803284984,0.602
averaged_per_epoch,8.0,,,0.16164,1.6820281982421874,0.638,0.6250247525681483,0.02325516203812918,0.6696999426071159,0.638
averaged_per_epoch,9.0,,,0.13012,1.9290316820144653,0.612,0.5972972324272837,0.06577124406157624,0.631933369218091,0.612
averaged_per_epoch,10.0,,,0.07304,2.120259475708008,0.64,0.6333454078997035,0.03771915798063601,0.6568868918145748,0.64
averaged_per_epoch,11.0,,,0.042820000000000004,2.386204648017883,0.616,0.5980822462623607,0.04616123602478889,0.6307629919147805,0.616
averaged_per_epoch,12.0,,,0.031479999999999994,2.4146070003509523,0.628,0.6140873968667603,0.023230775941727993,0.6483880170395242,0.628
averaged_per_epoch,13.0,,,0.02158,2.386157751083374,0.646,0.6338655109637245,0.040008351001621804,0.649523263684722,0.646
averaged_per_epoch,14.0,,,0.012640000000000002,2.4595704078674316,0.646,0.6328897877709198,0.04049978467800755,0.6525826920822025,0.646
averaged_per_epoch,15.0,,,0.01082,2.420610213279724,0.658,0.645373782252955,0.023658471814655933,0.6698546691366777,0.658
averaged_per_epoch,16.0,,,0.00968,2.56313214302063,0.638,0.6262250105881948,0.02426612304238377,0.635166998628207,0.638
averaged_per_epoch,17.0,,,0.0009599999999999999,2.683308744430542,0.636,0.6191076825305979,0.03942009809492444,0.6454114063798954,0.636
averaged_per_epoch,18.0,,,0.0049,2.8147082328796387,0.642,0.6285512440145756,0.03245217236517633,0.6642391370236707,0.642
averaged_per_epoch,19.0,,,0.0064,2.9364590644836426,0.62,0.6032179763130477,0.04341398313513387,0.6390254348202988,0.62
averaged_per_epoch,20.0,,,0.018279999999999998,2.8765411376953125,0.63,0.6122576328377118,0.028373950843478137,0.644729538480536,0.63
averaged_per_epoch,21.0,,,0.00736,2.936118507385254,0.6199999999999999,0.608205247198385,0.04221791176669834,0.6241173927087617,0.6199999999999999
averaged_per_epoch,22.0,,,0.0098,3.02976131439209,0.6199999999999999,0.6091416773579174,0.04220535732252667,0.6358913433912734,0.6199999999999999
averaged_per_epoch,23.0,,,0.00642,2.9637514114379884,0.616,0.6031729284922951,0.04632172668104891,0.6308940104472672,0.616
averaged_per_epoch,24.0,,,0.00682,2.999536323547363,0.61,0.5997122205222145,0.03193479352154394,0.6165461612447277,0.61
averaged_per_epoch,25.0,,,0.023520000000000003,3.067776107788086,0.62,0.6072215239646508,0.05128449023574564,0.6504909181826767,0.62
