epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.507015585899353,0.4,0.22857142857142854,0.16,0.4,0.56,1.1500000000000002e-05
2.0,50.0,0.4984285831451416,0.4,0.22857142857142854,0.16,0.4,0.5047,2.4e-05
3.0,75.0,0.4537791907787323,0.47,0.3702251270878722,0.32480363786688715,0.47,0.4509,3.65e-05
4.0,100.0,0.40165475010871887,0.49,0.40047098984256574,0.5788899253731343,0.49,0.3568,4.9e-05
5.0,125.0,0.5836611390113831,0.46,0.42098765432098767,0.45622727272727276,0.46,0.2671,4.954166666666667e-05
6.0,150.0,0.46753668785095215,0.5,0.4822274365583877,0.5014734299516909,0.5,0.1959,4.902083333333334e-05
7.0,175.0,0.5959432125091553,0.6,0.5881005163251956,0.5946923549907769,0.6,0.1316,4.85e-05
8.0,200.0,0.497193306684494,0.59,0.5589168993000768,0.6201217128642502,0.59,0.1301,4.797916666666667e-05
9.0,225.0,0.58919757604599,0.65,0.6335311081195227,0.6743381180223286,0.65,0.0719,4.745833333333334e-05
10.0,250.0,0.8563227653503418,0.6,0.5904830917874395,0.6001524790998476,0.6,0.0793,4.69375e-05
11.0,275.0,0.7257246375083923,0.64,0.6266554880812109,0.687030303030303,0.64,0.0384,4.641666666666667e-05
12.0,300.0,0.846331775188446,0.6,0.552472233373478,0.628051948051948,0.6,0.0164,4.5895833333333335e-05
13.0,325.0,0.7035922408103943,0.67,0.666281758599479,0.6720128205128205,0.67,0.0266,4.5375e-05
14.0,350.0,0.6180934309959412,0.58,0.5448100048100047,0.603063725490196,0.58,0.1382,4.491666666666667e-05
15.0,375.0,0.8029082417488098,0.68,0.6624379674870144,0.6988417508417508,0.68,0.1482,4.439583333333334e-05
16.0,400.0,1.0946084260940552,0.55,0.5128509954130609,0.5535984848484847,0.55,0.0489,4.3875e-05
17.0,425.0,0.7980301380157471,0.66,0.635736842105263,0.7036565656565656,0.66,0.0259,4.3354166666666666e-05
18.0,450.0,0.8707087635993958,0.64,0.6132330603759175,0.6553667711598746,0.64,0.0047,4.2833333333333335e-05
19.0,475.0,0.9722628593444824,0.6,0.5666899583295077,0.6051166038262813,0.6,0.0107,4.23125e-05
20.0,500.0,0.8169907927513123,0.68,0.6659918298690376,0.6775177304964538,0.68,0.0009,4.179166666666667e-05
21.0,525.0,1.0822961330413818,0.6,0.582503885003885,0.6178591239269207,0.6,0.0008,4.127083333333334e-05
22.0,550.0,1.040498971939087,0.62,0.6127176194591925,0.6175829636202308,0.62,0.008,4.075e-05
23.0,575.0,1.0467406511306763,0.62,0.6063290794757978,0.6448636125196714,0.62,0.0016,4.022916666666667e-05
24.0,600.0,0.9157865047454834,0.66,0.6523166074769924,0.6653591989987484,0.66,0.0081,3.9708333333333334e-05
25.0,625.0,0.9172881245613098,0.66,0.6518043475555886,0.6652300920368147,0.66,0.0005,3.91875e-05
26.0,650.0,0.9357458353042603,0.65,0.6360041407867495,0.66003663003663,0.65,0.0004,3.866666666666667e-05
27.0,675.0,0.9500026106834412,0.65,0.6360041407867495,0.66003663003663,0.65,0.0004,3.814583333333334e-05
28.0,700.0,0.9638402462005615,0.65,0.6360041407867495,0.66003663003663,0.65,0.0004,3.7625e-05
29.0,725.0,0.9742891192436218,0.65,0.6360041407867495,0.66003663003663,0.65,0.0004,3.710416666666667e-05
