metric_type,epoch,fold_number,fold_specific_value,avg_train_loss,avg_eval_loss,avg_eval_accuracy,avg_eval_f1_weighted,std_eval_f1_weighted,avg_eval_precision_weighted,avg_eval_recall_weighted
averaged_per_epoch,1.0,,,0.55668,0.512740957736969,0.402,0.2327464621709226,0.009335658936814305,0.21032323232323233,0.402
averaged_per_epoch,2.0,,,0.51074,0.5059623718261719,0.41400000000000003,0.25429320843091335,0.05751564826809297,0.19207317073170732,0.41400000000000003
averaged_per_epoch,3.0,,,0.46577999999999997,0.4845612108707428,0.438,0.3223410579089278,0.05897635635299145,0.2834289795265882,0.438
averaged_per_epoch,4.0,,,0.3741,0.4191401362419128,0.51,0.44409436287032056,0.07379937322191124,0.5070774169780061,0.51
averaged_per_epoch,5.0,,,0.27218,0.4325287759304047,0.5740000000000001,0.555988127146483,0.10107085645114548,0.606550951584717,0.5740000000000001
averaged_per_epoch,6.0,,,0.1897,0.4711654961109161,0.586,0.5660805050764066,0.06105766646184274,0.617263027607855,0.586
averaged_per_epoch,7.0,,,0.12976000000000001,0.4974913477897644,0.646,0.6335382128458672,0.042507674064096196,0.6709235676547516,0.646
averaged_per_epoch,8.0,,,0.09996,0.5666730344295502,0.632,0.6170510048139327,0.044015805210843265,0.6598311048642671,0.632
averaged_per_epoch,9.0,,,0.06295999999999999,0.6117739975452423,0.632,0.617394379943737,0.037857015064077196,0.6622686829004106,0.632
averaged_per_epoch,10.0,,,0.07318,0.6999420404434205,0.642,0.6291808346542009,0.07381772056119779,0.6562483214097993,0.642
averaged_per_epoch,11.0,,,0.043620000000000006,0.7297757863998413,0.646,0.6351088480225809,0.03940799313421281,0.6757333073767742,0.646
averaged_per_epoch,12.0,,,0.032740000000000005,0.726916229724884,0.6519999999999999,0.6355774653873915,0.0610409956380932,0.6701000953090064,0.6519999999999999
averaged_per_epoch,13.0,,,0.02656,0.7210313081741333,0.666,0.6536872422828935,0.051537724464488316,0.6810379550238727,0.666
averaged_per_epoch,14.0,,,0.05344,0.7471466183662414,0.6519999999999999,0.6375462927232862,0.0626519196272252,0.6658768715003235,0.6519999999999999
averaged_per_epoch,15.0,,,0.04786,0.7989405035972595,0.65,0.6398754035093636,0.05154367837046074,0.6679001550652759,0.65
averaged_per_epoch,16.0,,,0.021560000000000003,0.8542010664939881,0.656,0.6421504593903279,0.07623702215108452,0.6803441608461137,0.656
averaged_per_epoch,17.0,,,0.01316,0.8679531931877136,0.6639999999999999,0.6500719094070313,0.03567767872427582,0.6931893253423013,0.6639999999999999
averaged_per_epoch,18.0,,,0.011,0.8200902938842773,0.67,0.6552047629664888,0.027976343910421437,0.6957861274155679,0.67
averaged_per_epoch,19.0,,,0.0041,0.8812994718551636,0.662,0.6447594623598251,0.06636066674928587,0.6824236099460045,0.662
averaged_per_epoch,20.0,,,0.0016400000000000002,0.8889421582221985,0.6799999999999999,0.6664123923433372,0.02708709588601514,0.6980167173372098,0.6799999999999999
averaged_per_epoch,21.0,,,0.001,0.9256213784217835,0.6719999999999999,0.6584594196957999,0.04865469715224889,0.6916126432711363,0.6719999999999999
averaged_per_epoch,22.0,,,0.01076,0.9706659436225891,0.662,0.651371462349616,0.03542918321991179,0.6803400022876054,0.662
averaged_per_epoch,23.0,,,0.00296,0.9818069696426391,0.6679999999999999,0.6500080145430955,0.0372368122027551,0.6978045060516098,0.6679999999999999
averaged_per_epoch,24.0,,,0.00536,0.9671360850334167,0.662,0.6462421402970235,0.044562924247730555,0.6882815178081355,0.662
