epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,91,1.3227,1.2361111111111112e-05,91,1.2767285108566284,0.4,0.22857142857142854,0.16,0.4
2.0,182,1.2503,2.5e-05,182,1.2887694835662842,0.4,0.22857142857142854,0.16,0.4
3.0,273,1.2197,3.7500000000000003e-05,273,1.2315673828125,0.41,0.27544642857142854,0.2705837173579109,0.41
4.0,364,0.9864,4.9978902953586496e-05,364,0.9905972480773926,0.68,0.6784477275618309,0.6791161442534546,0.68
5.0,455,0.6336,4.805907172995781e-05,455,0.8705244660377502,0.7,0.6974682641563257,0.7002380952380952,0.7
6.0,546,0.4549,4.613924050632912e-05,546,0.8808242678642273,0.72,0.7114278531925591,0.7376190476190476,0.72
7.0,637,0.3468,4.421940928270043e-05,637,1.0272302627563477,0.74,0.7308096686950641,0.7467229151381756,0.74
8.0,728,0.3092,4.229957805907173e-05,728,0.9604955911636353,0.76,0.7522647479148281,0.7631604335514109,0.76
9.0,819,0.2438,4.037974683544304e-05,819,0.9288864135742188,0.71,0.7049725516029863,0.7188756674294432,0.71
10.0,910,0.2091,3.8459915611814346e-05,910,1.013310432434082,0.75,0.7429164010719745,0.7504278959810874,0.75
11.0,1001,0.1666,3.654008438818566e-05,1001,1.1203868389129639,0.74,0.7385780910369519,0.7394921962095874,0.74
12.0,1092,0.1622,3.462025316455696e-05,1092,1.2177387475967407,0.71,0.7068830103598771,0.711588876240039,0.71
13.0,1183,0.1269,3.270042194092827e-05,1183,1.4543979167938232,0.72,0.7102582784148087,0.7294786324786324,0.72
14.0,1274,0.1016,3.078059071729958e-05,1274,1.400804877281189,0.71,0.7060811169506823,0.7079757575757575,0.71
15.0,1365,0.0988,2.8860759493670884e-05,1365,1.5046130418777466,0.7,0.6928165592000748,0.7058404255319148,0.7
16.0,1456,0.0725,2.6940928270042193e-05,1456,1.719606876373291,0.71,0.702838732149077,0.7211975683890577,0.71
17.0,1547,0.0757,2.5021097046413504e-05,1547,1.6333340406417847,0.72,0.7123966408268734,0.7297781109445276,0.72
18.0,1638,0.0617,2.3101265822784813e-05,1638,1.6157467365264893,0.69,0.6835692171605484,0.6929352346999406,0.69
19.0,1729,0.0446,2.1181434599156118e-05,1729,1.629421353340149,0.72,0.7126471206057403,0.7253535353535354,0.72
20.0,1820,0.0472,1.9261603375527426e-05,1820,1.7678695917129517,0.72,0.712803605207522,0.7316699604743083,0.72
21.0,1911,0.0402,1.7341772151898734e-05,1911,1.8521530628204346,0.7,0.6938602604071152,0.7063181818181818,0.7
22.0,2002,0.0364,1.5421940928270042e-05,2002,1.8879268169403076,0.73,0.7216375479926659,0.7326950354609929,0.73
23.0,2093,0.0352,1.3502109704641349e-05,2093,1.8619489669799805,0.72,0.7105904761904762,0.723774936061381,0.72
24.0,2184,0.0364,1.1582278481012659e-05,2184,1.955586552619934,0.7,0.6938602604071152,0.7063181818181818,0.7
25.0,2275,0.029,9.662447257383966e-06,2275,1.961218237876892,0.71,0.703026927073782,0.7157445141065831,0.71
26.0,2366,0.0206,7.763713080168777e-06,2366,2.024777889251709,0.72,0.712720953326713,0.7336013986013987,0.72
27.0,2457,0.0202,5.843881856540085e-06,2457,2.0349438190460205,0.71,0.7030923752609978,0.7205942028985506,0.71
28.0,2548,0.0261,3.924050632911393e-06,2548,2.0779082775115967,0.71,0.7035077519379844,0.7217781109445276,0.71
29.0,2639,0.019,2.004219409282701e-06,2639,2.081423759460449,0.7,0.6940454076367388,0.7125555555555555,0.7
30.0,2730,0.0196,8.438818565400844e-08,2730,2.062241792678833,0.7,0.6940454076367388,0.7125555555555555,0.7
