epoch,step,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted,train_loss,learning_rate
1.0,25.0,0.5956903696060181,0.4,0.22857142857142854,0.16,0.4,0.6702,1.2e-05
2.0,50.0,0.48670050501823425,0.4,0.22857142857142854,0.16,0.4,0.518,2.45e-05
3.0,75.0,0.47593820095062256,0.4,0.22857142857142854,0.16,0.4,0.499,3.7e-05
4.0,100.0,0.445713609457016,0.49,0.3933428981348637,0.34004040404040403,0.49,0.4414,4.9500000000000004e-05
5.0,125.0,0.701098620891571,0.38,0.40404692638502404,0.6477368421052632,0.38,0.3266,4.936842105263158e-05
6.0,150.0,0.40547341108322144,0.63,0.6201997178851112,0.6309693877551021,0.63,0.1917,4.871052631578948e-05
7.0,175.0,0.5791299343109131,0.55,0.5090573500329598,0.6017932263814617,0.55,0.1376,4.805263157894737e-05
8.0,200.0,0.5297439098358154,0.59,0.5647714916662285,0.585258467023173,0.59,0.1027,4.739473684210526e-05
9.0,225.0,0.6704813241958618,0.56,0.5412615973218555,0.6456637806637806,0.56,0.0632,4.673684210526316e-05
10.0,250.0,0.6435300707817078,0.61,0.5699246569033803,0.6487527472527472,0.61,0.0628,4.610526315789474e-05
11.0,275.0,0.6690393090248108,0.62,0.6083516483516483,0.6227682186234818,0.62,0.0409,4.544736842105263e-05
12.0,300.0,0.7370458841323853,0.62,0.6004324324324324,0.6401884498480244,0.62,0.0269,4.478947368421053e-05
13.0,325.0,0.7850595116615295,0.62,0.5727489481065918,0.6570384615384616,0.62,0.0134,4.413157894736842e-05
14.0,350.0,0.7322126626968384,0.63,0.6007218271924155,0.6721666666666666,0.63,0.0111,4.347368421052632e-05
15.0,375.0,0.8193647861480713,0.62,0.59649796714913,0.6521720549981418,0.62,0.0088,4.281578947368422e-05
16.0,400.0,0.8529337048530579,0.62,0.58883430295195,0.644,0.62,0.0039,4.215789473684211e-05
17.0,425.0,0.8260841369628906,0.63,0.6117817998994469,0.662766081871345,0.63,0.0035,4.15e-05
18.0,450.0,0.8673559427261353,0.63,0.5979438987978315,0.6764554242749732,0.63,0.0079,4.08421052631579e-05
19.0,475.0,0.8992308974266052,0.65,0.6198174247793312,0.7019136752829321,0.65,0.003,4.018421052631579e-05
20.0,500.0,0.8995774984359741,0.63,0.5998119122257053,0.6790928220715454,0.63,0.0025,3.9526315789473686e-05
21.0,525.0,0.8896220922470093,0.64,0.6156945993914806,0.6878443070730305,0.64,0.0024,3.8868421052631584e-05
22.0,550.0,0.9879814386367798,0.64,0.5838811116829645,0.6689621749408984,0.64,0.0024,3.8210526315789476e-05
23.0,575.0,0.9708894491195679,0.64,0.5823842364532019,0.7315487382483918,0.64,0.015,3.7552631578947374e-05
24.0,600.0,0.970326840877533,0.57,0.539551971326165,0.5588571428571428,0.57,0.0053,3.6894736842105265e-05
25.0,625.0,1.0310776233673096,0.56,0.48725911405156697,0.6925274725274724,0.56,0.0028,3.6236842105263156e-05
26.0,650.0,1.1335597038269043,0.57,0.5337820950978847,0.5803574412221029,0.57,0.0055,3.5578947368421054e-05
27.0,675.0,1.2313883304595947,0.55,0.5220851838369129,0.6001178451178452,0.55,0.0077,3.4947368421052634e-05
28.0,700.0,1.032851219177246,0.59,0.5375684078230767,0.6227727272727273,0.59,0.0041,3.4289473684210525e-05
29.0,725.0,1.072425127029419,0.58,0.5567192118226602,0.5697239108409321,0.58,0.0036,3.363157894736842e-05
30.0,750.0,1.0260529518127441,0.65,0.5971027219032671,0.7200757575757575,0.65,0.0037,3.297368421052632e-05
31.0,775.0,1.0408520698547363,0.59,0.5611464733392445,0.6043837209302326,0.59,0.0025,3.231578947368421e-05
32.0,800.0,1.013077974319458,0.63,0.6002284165698799,0.6431672203765227,0.63,0.0062,3.165789473684211e-05
33.0,825.0,1.1008697748184204,0.59,0.5321888253734096,0.6934027777777778,0.59,0.0014,3.1e-05
34.0,850.0,1.017275094985962,0.64,0.5738009217169637,0.7223809523809525,0.64,0.0012,3.0342105263157893e-05
35.0,875.0,0.991763174533844,0.61,0.5884321386913689,0.620469696969697,0.61,0.004,2.968421052631579e-05
36.0,900.0,1.0110578536987305,0.63,0.579932733932734,0.713054298642534,0.63,0.0048,2.9026315789473685e-05
37.0,925.0,1.0107786655426025,0.65,0.6146488011650283,0.7253892060197197,0.65,0.0011,2.8368421052631583e-05
38.0,950.0,1.1124029159545898,0.62,0.5577238393790118,0.7096976744186047,0.62,0.0025,2.773684210526316e-05
39.0,975.0,1.14031183719635,0.58,0.5506042555947186,0.5843544137022397,0.58,0.0011,2.7078947368421054e-05
40.0,1000.0,1.1509664058685303,0.59,0.5597788697788698,0.5908181818181818,0.59,0.0009,2.6421052631578945e-05
41.0,1025.0,1.145135760307312,0.6,0.5688572909230186,0.5972616407982262,0.6,0.0009,2.5763157894736843e-05
42.0,1050.0,1.130258321762085,0.61,0.5766506861541649,0.6253735024665257,0.61,0.0009,2.5105263157894738e-05
43.0,1075.0,1.1182953119277954,0.61,0.5766506861541649,0.6253735024665257,0.61,0.0009,2.4447368421052633e-05
44.0,1100.0,1.1180589199066162,0.61,0.5766506861541649,0.6253735024665257,0.61,0.0008,2.3789473684210527e-05
45.0,1125.0,1.1157784461975098,0.61,0.5771371199082044,0.621798449612403,0.61,0.0008,2.3131578947368422e-05
46.0,1150.0,1.1205226182937622,0.6,0.5701993909704753,0.6142912513842747,0.6,0.0008,2.2473684210526316e-05
47.0,1175.0,1.1195297241210938,0.61,0.5771371199082044,0.621798449612403,0.61,0.0008,2.181578947368421e-05
48.0,1200.0,1.121049165725708,0.61,0.5771371199082044,0.621798449612403,0.61,0.0007,2.1157894736842106e-05
49.0,1225.0,1.1232092380523682,0.61,0.5771371199082044,0.621798449612403,0.61,0.0007,2.05e-05
50.0,1250.0,1.1250518560409546,0.61,0.5771371199082044,0.621798449612403,0.61,0.0007,1.9842105263157895e-05
51.0,1275.0,1.1279739141464233,0.61,0.5771371199082044,0.621798449612403,0.61,0.0007,1.918421052631579e-05
52.0,1300.0,1.1302075386047363,0.61,0.5771371199082044,0.621798449612403,0.61,0.0007,1.8526315789473687e-05
53.0,1325.0,1.1312822103500366,0.61,0.5764927536231884,0.6192554112554112,0.61,0.0007,1.786842105263158e-05
