epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
1.0,91,1.3227,1.25e-05,91,1.2805713415145874,0.41,0.24947508659738876,0.42161616161616167,0.41
2.0,182,1.2546,2.513888888888889e-05,182,1.282934546470642,0.4,0.24465838509316767,0.2891836734693878,0.4
3.0,273,1.2221,3.777777777777778e-05,273,1.2562451362609863,0.39,0.2528076463560335,0.2597894736842105,0.39
4.0,364,0.9743,4.99367088607595e-05,364,1.0088070631027222,0.58,0.5779545454545455,0.5840909090909091,0.58
5.0,455,0.5949,4.8037974683544305e-05,455,1.1280397176742554,0.58,0.5590943577286971,0.5824963205621231,0.58
6.0,546,0.4476,4.611814345991561e-05,546,1.0521841049194336,0.62,0.6082955427275109,0.636063492063492,0.62
7.0,637,0.3595,4.419831223628692e-05,637,1.0393961668014526,0.68,0.675603181841212,0.6892617626760849,0.68
8.0,728,0.2803,4.227848101265823e-05,728,1.1500723361968994,0.66,0.6572958500669344,0.6680130558955528,0.66
9.0,819,0.2378,4.037974683544304e-05,819,1.221089482307434,0.67,0.6661060787951544,0.6842028985507247,0.67
10.0,910,0.2,3.8459915611814346e-05,910,1.287099003791809,0.68,0.6749834446072843,0.694470103831006,0.68
11.0,1001,0.1604,3.654008438818566e-05,1001,1.3495070934295654,0.64,0.632750677506775,0.6634168096054889,0.64
12.0,1092,0.147,3.464135021097046e-05,1092,1.546755313873291,0.63,0.6163779318108678,0.6432794612794612,0.63
13.0,1183,0.1374,3.272151898734178e-05,1183,1.5661784410476685,0.65,0.6427590301830777,0.681350762527233,0.65
14.0,1274,0.0941,3.0801687763713086e-05,1274,1.7169663906097412,0.63,0.6149803760590201,0.6391761006289307,0.63
15.0,1365,0.095,2.888185654008439e-05,1365,1.7253338098526,0.7,0.6978527062999114,0.7103733657646701,0.7
16.0,1456,0.0867,2.6962025316455696e-05,1456,1.7574701309204102,0.7,0.6951772167640842,0.7110901960784314,0.7
17.0,1547,0.0548,2.5042194092827004e-05,1547,1.9422061443328857,0.66,0.654361316977596,0.6750766488413548,0.66
18.0,1638,0.0447,2.3122362869198312e-05,1638,2.056546926498413,0.64,0.6331052834130518,0.661755303290907,0.64
19.0,1729,0.0315,2.120253164556962e-05,1729,1.9528924226760864,0.71,0.7083658638338574,0.7156952380952382,0.71
20.0,1820,0.0352,1.928270042194093e-05,1820,2.0531463623046875,0.71,0.7105009276437849,0.7305596005824839,0.71
21.0,1911,0.0303,1.7362869198312237e-05,1911,2.219149112701416,0.66,0.653932664984428,0.6892218522629178,0.66
22.0,2002,0.027,1.5443037974683546e-05,2002,2.1987626552581787,0.67,0.6663537999332368,0.6849598930481284,0.67
23.0,2093,0.0173,1.3523206751054854e-05,2093,2.2413511276245117,0.65,0.6421144831662461,0.6747774078184733,0.65
24.0,2184,0.0221,1.160337552742616e-05,2184,2.2791736125946045,0.68,0.6773425311657069,0.7035624075548982,0.68
25.0,2275,0.016,9.683544303797469e-06,2275,2.315431594848633,0.68,0.6767537999332369,0.6957932263814617,0.68
26.0,2366,0.0109,7.763713080168777e-06,2366,2.3773605823516846,0.71,0.7077469984859147,0.7383730342275671,0.71
27.0,2457,0.0108,5.843881856540085e-06,2457,2.3323476314544678,0.68,0.6763225011441288,0.6934896802821708,0.68
28.0,2548,0.0102,3.924050632911393e-06,2548,2.3945960998535156,0.67,0.6661307113938694,0.6949576648841354,0.67
29.0,2639,0.016,2.004219409282701e-06,2639,2.4397549629211426,0.71,0.7078431372549019,0.7326175213675213,0.71
30.0,2730,0.015,8.438818565400844e-08,2730,2.430717706680298,0.71,0.7066267995570321,0.7295108695652174,0.71
