metric_type,epoch,fold_number,fold_specific_value,avg_train_loss,avg_eval_loss,avg_eval_accuracy,avg_eval_f1_weighted,std_eval_f1_weighted,avg_eval_precision_weighted,avg_eval_recall_weighted
averaged_per_epoch,1.0,,,1.34686,1.2937880754470825,0.374,0.2148531205257357,0.06162915690439303,0.18584682008973802,0.374
averaged_per_epoch,2.0,,,1.28666,1.2769072294235229,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,3.0,,,1.28152,1.2740185499191283,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,4.0,,,1.27714,1.2704931259155274,0.402,0.23567282913165263,0.015879214388116156,0.1865,0.402
averaged_per_epoch,5.0,,,1.2709199999999998,1.2569286823272705,0.394,0.27026806850695223,0.05871658673759764,0.21593301972963097,0.394
averaged_per_epoch,6.0,,,1.23006,1.2052978515625,0.42000000000000004,0.30031809813391247,0.055509094576145876,0.32284647057794735,0.42000000000000004
averaged_per_epoch,7.0,,,1.1148,1.1576757669448852,0.46399999999999997,0.42691525290910953,0.03433085423721708,0.4793523110193014,0.46399999999999997
averaged_per_epoch,8.0,,,0.98956,1.0513930678367616,0.5359999999999999,0.4939797209945624,0.04299486834261761,0.5059852239393675,0.5359999999999999
averaged_per_epoch,9.0,,,0.83894,0.9999604463577271,0.572,0.5464008824528925,0.041865229012094544,0.5532959259470888,0.572
averaged_per_epoch,10.0,,,0.73672,0.9608911991119384,0.61,0.5985549914564923,0.03992995244091994,0.6086229238906016,0.61
averaged_per_epoch,11.0,,,0.6162799999999999,0.9667645573616028,0.6359999999999999,0.6213667554434313,0.04633187423240836,0.6534913503538473,0.6359999999999999
averaged_per_epoch,12.0,,,0.50966,0.9695873260498047,0.622,0.6071677355027241,0.06409949349363916,0.6392054663206593,0.622
averaged_per_epoch,13.0,,,0.43886000000000003,0.9600520253181457,0.656,0.6445563398924417,0.08330679575260622,0.6674488854565354,0.656
averaged_per_epoch,14.0,,,0.35348,1.0048779010772706,0.6519999999999999,0.6412853082279961,0.05627237031185789,0.657860518034802,0.6519999999999999
averaged_per_epoch,15.0,,,0.29162,1.051907980442047,0.67,0.6616239593664661,0.04762756221704496,0.6807474544783085,0.67
averaged_per_epoch,16.0,,,0.24118,1.033649706840515,0.6679999999999999,0.6599024176473824,0.055857809215878955,0.6699682720247921,0.6679999999999999
averaged_per_epoch,17.0,,,0.19458,1.1337276339530944,0.6679999999999999,0.6593685488800398,0.05222073892684254,0.6797591120198521,0.6679999999999999
averaged_per_epoch,18.0,,,0.16088,1.1917837500572204,0.67,0.6584350116637592,0.059660606845934216,0.6712932219126222,0.67
averaged_per_epoch,19.0,,,0.13816,1.1878698587417602,0.682,0.672760871458806,0.05047624988158495,0.6870866709429604,0.682
averaged_per_epoch,20.0,,,0.10274000000000001,1.3399997711181642,0.682,0.670566509960757,0.05978770264124244,0.6922135968721254,0.682
averaged_per_epoch,21.0,,,0.08068,1.2974397540092468,0.6839999999999999,0.6763428388680706,0.051742662332805944,0.6913495535122682,0.6839999999999999
averaged_per_epoch,22.0,,,0.06858,1.3910300135612488,0.694,0.6830289802492351,0.051008563575925564,0.7006246751856915,0.694
averaged_per_epoch,23.0,,,0.05754,1.4308804392814636,0.6980000000000001,0.6894091289463098,0.04285577551884148,0.70922120203581,0.6980000000000001
averaged_per_epoch,24.0,,,0.04148,1.468000626564026,0.682,0.6751696232672568,0.05321539067089263,0.6884614958781273,0.682
averaged_per_epoch,25.0,,,0.040760000000000005,1.5178462028503419,0.6900000000000001,0.6841436804346724,0.04962761605248665,0.6966239598128366,0.6900000000000001
averaged_per_epoch,26.0,,,0.03338,1.5892191171646117,0.688,0.6796165696546472,0.05272280966676279,0.6941844218651217,0.688
averaged_per_epoch,27.0,,,0.021920000000000002,1.6611269950866698,0.6940000000000001,0.6865448131419947,0.06009823378787692,0.7067543265964662,0.6940000000000001
averaged_per_epoch,28.0,,,0.02062,1.6901778697967529,0.686,0.6764755147617235,0.06126306936827627,0.6893596733976367,0.686
averaged_per_epoch,29.0,,,0.01942,1.6725030183792113,0.6900000000000001,0.68384398393479,0.06042225577736969,0.6970425975596504,0.6900000000000001
averaged_per_epoch,30.0,,,0.016300000000000002,1.6797470569610595,0.7,0.6950634384526537,0.05174043349171179,0.701650646090283,0.7
averaged_per_epoch,31.0,,,0.013619999999999998,1.7554761171340942,0.7020000000000001,0.6952026949924306,0.06034366263748896,0.7070185071828241,0.7020000000000001
averaged_per_epoch,32.0,,,0.01216,1.8599656581878663,0.71,0.7027185986282506,0.052094267858900034,0.7202243137002166,0.71
averaged_per_epoch,33.0,,,0.00976,1.8309675693511962,0.6940000000000001,0.6866076946942894,0.05230512918411634,0.6999557217438714,0.6940000000000001
averaged_per_epoch,34.0,,,0.00486,1.8980618238449096,0.6859999999999999,0.6765568993705428,0.06513263076088467,0.6931892948561437,0.6859999999999999
averaged_per_epoch,35.0,,,0.0074800000000000005,1.9040118932724,0.692,0.6842088028143876,0.05983362169993839,0.7007942276417728,0.692
averaged_per_epoch,36.0,,,0.011459999999999998,1.9228058815002442,0.696,0.6887005207142777,0.0530900753157702,0.7008359145435221,0.696
averaged_per_epoch,37.0,,,0.0128,1.9637714147567749,0.692,0.6805629889258189,0.06341716859890714,0.6907095757388028,0.692
averaged_per_epoch,38.0,,,0.004960000000000001,1.9415229082107544,0.6980000000000001,0.6887511749015947,0.057462308084784725,0.7050235753056043,0.6980000000000001
