epoch,step_train,train_loss,learning_rate,step_eval,eval_loss,eval_accuracy,eval_f1_weighted,eval_precision_weighted,eval_recall_weighted
23.0,1840,0.0038,7.774358974358976e-05,1840,2.7367353439331055,0.72,0.702641001480684,0.7481730769230769,0.72
24.0,1920,0.0036,7.671794871794871e-05,1920,2.5922765731811523,0.73,0.7070916627088641,0.7671410256410256,0.73
25.0,2000,0.0005,7.56923076923077e-05,2000,2.8785228729248047,0.68,0.6597662337662338,0.7316349206349205,0.68
26.0,2080,0.0065,7.466666666666667e-05,2080,2.5241281986236572,0.75,0.7264678362573099,0.7829761904761905,0.75
27.0,2160,0.004,7.364102564102563e-05,2160,2.5539040565490723,0.73,0.7114685014685014,0.7632620320855615,0.73
28.0,2240,0.0038,7.261538461538462e-05,2240,3.3310790061950684,0.71,0.680383813099708,0.7615740740740741,0.71
29.0,2320,0.0178,7.15897435897436e-05,2320,3.3074471950531006,0.69,0.6540750988142292,0.7322802197802198,0.69
30.0,2400,0.0014,7.056410256410257e-05,2400,2.7277839183807373,0.75,0.7265375908754517,0.7884257861635219,0.75
31.0,2480,0.0012,6.953846153846154e-05,2480,3.132556676864624,0.74,0.7117108155002893,0.774283380018674,0.74
32.0,2560,0.0051,6.851282051282051e-05,2560,3.3702642917633057,0.71,0.6710180189351521,0.7477645502645502,0.71
33.0,2640,0.0165,6.748717948717949e-05,2640,3.27021861076355,0.69,0.6670336134453781,0.7332478632478633,0.69
34.0,2720,0.0017,6.646153846153846e-05,2720,3.4576144218444824,0.71,0.67931279178338,0.7500198938992042,0.71
35.0,2800,0.0011,6.543589743589745e-05,2800,3.0079801082611084,0.74,0.7185955056179776,0.7777127158555731,0.74
36.0,2880,0.0106,6.44102564102564e-05,2880,3.2728826999664307,0.68,0.6572417582417583,0.7293297345928926,0.68
37.0,2960,0.0042,6.338461538461539e-05,2960,3.361030340194702,0.73,0.6977979539641944,0.7698076923076924,0.73
38.0,3040,0.0007,6.235897435897436e-05,3040,3.22152042388916,0.68,0.658962962962963,0.7312940379403794,0.68
39.0,3120,0.0038,6.133333333333334e-05,3120,3.0592598915100098,0.73,0.7035955056179776,0.7675085560307235,0.73
40.0,3200,0.0001,6.030769230769231e-05,3200,3.3347623348236084,0.74,0.7131318681318681,0.7789994972347913,0.74
41.0,3280,0.0008,5.928205128205129e-05,3280,3.5852203369140625,0.7,0.6699773188272173,0.7401385442514475,0.7
42.0,3360,0.0008,5.826923076923078e-05,3360,3.322239875793457,0.71,0.678644748242996,0.7552663817663818,0.71
43.0,3440,0.0007,5.7243589743589745e-05,3440,3.3231046199798584,0.71,0.6790866177340245,0.7489065934065934,0.71
44.0,3520,0.0036,5.621794871794872e-05,3520,2.9367923736572266,0.73,0.7090000000000001,0.7696923076923078,0.73
45.0,3600,0.0001,5.51923076923077e-05,3600,3.464625597000122,0.72,0.6882016806722688,0.7580198938992042,0.72
46.0,3680,0.013,5.4166666666666664e-05,3680,3.267782211303711,0.74,0.7055194913279403,0.775125786163522,0.74
47.0,3760,0.0003,5.3141025641025644e-05,3760,2.8130943775177,0.71,0.685328407224959,0.749778024156885,0.71
48.0,3840,0.0001,5.2115384615384624e-05,3840,3.254081964492798,0.73,0.7051193151417872,0.7721315192743765,0.73
49.0,3920,0.0001,5.108974358974359e-05,3920,3.5582704544067383,0.73,0.7035955056179776,0.7675085560307235,0.73
50.0,4000,0.0,5.006410256410256e-05,4000,3.5483014583587646,0.73,0.7035955056179776,0.7675085560307235,0.73
51.0,4080,0.0,4.9038461538461536e-05,4080,3.4973955154418945,0.73,0.7035955056179776,0.7675085560307235,0.73
52.0,4160,0.0015,4.8012820512820516e-05,4160,3.474407434463501,0.72,0.69446001367054,0.7584700854700854,0.72
53.0,4240,0.0085,4.698717948717949e-05,4240,3.559863805770874,0.7,0.6754701038310061,0.7561111111111112,0.7
54.0,4320,0.0045,4.596153846153846e-05,4320,3.8450684547424316,0.73,0.7035585374428689,0.7714957264957266,0.73
55.0,4400,0.0082,4.493589743589744e-05,4400,3.3356995582580566,0.74,0.7117108155002893,0.774283380018674,0.74
56.0,4480,0.0003,4.3910256410256415e-05,4480,3.5306236743927,0.74,0.7112800748066149,0.7768138203515561,0.74
57.0,4560,0.0005,4.288461538461538e-05,4560,3.6274683475494385,0.72,0.6885423400129282,0.7596881060116354,0.72
58.0,4640,0.0013,4.185897435897436e-05,4640,3.0898211002349854,0.73,0.7081818181818181,0.7644999999999998,0.73
59.0,4720,0.0109,4.0833333333333334e-05,4720,3.4362878799438477,0.69,0.666110508830215,0.7302053140096618,0.69
60.0,4800,0.0,3.980769230769231e-05,4800,3.507624626159668,0.74,0.7117108155002893,0.774283380018674,0.74
61.0,4880,0.0002,3.878205128205129e-05,4880,3.519355535507202,0.71,0.6843545855233696,0.7468906810035842,0.71
62.0,4960,0.008,3.775641025641026e-05,4960,3.0891823768615723,0.7,0.6757784238803373,0.7399836601307189,0.7
63.0,5040,0.0004,3.673076923076923e-05,5040,3.1297528743743896,0.74,0.7121752206603467,0.776559829059829,0.74
64.0,5120,0.0002,3.5705128205128206e-05,5120,3.9706499576568604,0.73,0.6963769013326154,0.765091575091575,0.73
65.0,5200,0.0002,3.467948717948718e-05,5200,3.7550363540649414,0.74,0.7055194913279403,0.775125786163522,0.74
66.0,5280,0.0001,3.365384615384616e-05,5280,3.1270556449890137,0.73,0.7024526484751205,0.7638219954648525,0.73
67.0,5360,0.0,3.262820512820513e-05,5360,3.260479688644409,0.73,0.7024526484751205,0.7638219954648525,0.73
68.0,5440,0.0024,3.1602564102564105e-05,5440,3.4723150730133057,0.74,0.7168536726431464,0.7750294117647059,0.74
69.0,5520,0.0,3.057692307692308e-05,5520,3.5371344089508057,0.74,0.7182369894256686,0.7799653092006034,0.74
70.0,5600,0.0002,2.9551282051282055e-05,5600,3.3556816577911377,0.73,0.7081818181818181,0.7644999999999998,0.73
71.0,5680,0.0096,2.8538461538461543e-05,5680,3.784771680831909,0.72,0.686917340790306,0.7575786163522013,0.72
72.0,5760,0.0002,2.7512820512820512e-05,5760,3.900300979614258,0.71,0.6778630673405206,0.7477564102564103,0.71
73.0,5840,0.0005,2.6487179487179486e-05,5840,3.5373570919036865,0.72,0.6878235294117647,0.7665559440559442,0.72
74.0,5920,0.0,2.5461538461538465e-05,5920,3.4219048023223877,0.71,0.6778630673405206,0.7477564102564103,0.71
75.0,6000,0.0,2.443589743589744e-05,6000,3.421541452407837,0.71,0.6778630673405206,0.7477564102564103,0.71
76.0,6080,0.0005,2.341025641025641e-05,6080,3.2575769424438477,0.74,0.7172727272727273,0.7728333333333333,0.74
77.0,6160,0.0,2.2384615384615385e-05,6160,3.3460659980773926,0.74,0.7172727272727273,0.7728333333333333,0.74
78.0,6240,0.0002,2.135897435897436e-05,6240,3.1836938858032227,0.72,0.6992139493392528,0.7561105072463767,0.72
79.0,6320,0.0011,2.0333333333333334e-05,6320,4.042548656463623,0.7,0.6690833346328193,0.737497256967303,0.7
80.0,6400,0.001,1.930769230769231e-05,6400,3.5870749950408936,0.73,0.7025789473684211,0.7647720306513409,0.73
81.0,6480,0.0002,1.8282051282051284e-05,6480,3.663276433944702,0.72,0.6932259071832749,0.7717929292929291,0.72
82.0,6560,0.0001,1.7256410256410257e-05,6560,3.546628952026367,0.71,0.6843545855233696,0.7468906810035842,0.71
83.0,6640,0.0,1.6230769230769233e-05,6640,3.56559681892395,0.71,0.6843545855233696,0.7468906810035842,0.71
84.0,6720,0.0,1.5205128205128204e-05,6720,3.5669121742248535,0.71,0.6843545855233696,0.7468906810035842,0.71
85.0,6800,0.0,1.4179487179487181e-05,6800,3.583939790725708,0.71,0.6843545855233696,0.7468906810035842,0.71
86.0,6880,0.0012,1.3153846153846156e-05,6880,3.5246856212615967,0.73,0.7025789473684211,0.7647720306513409,0.73
87.0,6960,0.0,1.2128205128205129e-05,6960,3.630014657974243,0.71,0.6843545855233696,0.7468906810035842,0.71
88.0,7040,0.0,1.1102564102564103e-05,7040,3.6386115550994873,0.72,0.6934638844301766,0.7556587301587301,0.72
89.0,7120,0.0,1.0076923076923076e-05,7120,3.6356678009033203,0.72,0.6934638844301766,0.7556587301587301,0.72
90.0,7200,0.0,9.051282051282051e-06,7200,3.6367626190185547,0.72,0.6934638844301766,0.7556587301587301,0.72
91.0,7280,0.0,8.025641025641026e-06,7280,3.6386945247650146,0.73,0.7025789473684211,0.7647720306513409,0.73
92.0,7360,0.0,7.000000000000001e-06,7360,3.619284152984619,0.72,0.6934638844301766,0.7556587301587301,0.72
93.0,7440,0.0,5.974358974358975e-06,7440,3.580925941467285,0.71,0.6847151599930058,0.7475966183574879,0.71
94.0,7520,0.0001,4.948717948717949e-06,7520,3.5685460567474365,0.71,0.6847151599930058,0.7475966183574879,0.71
95.0,7600,0.0,3.923076923076923e-06,7600,3.57119083404541,0.71,0.6847151599930058,0.7475966183574879,0.71
96.0,7680,0.0,2.8974358974358976e-06,7680,3.570159912109375,0.71,0.6847151599930058,0.7475966183574879,0.71
97.0,7760,0.0,1.871794871794872e-06,7760,3.5678844451904297,0.71,0.6847151599930058,0.7475966183574879,0.71
98.0,7840,0.0001,8.461538461538462e-07,7840,3.6345412731170654,0.71,0.6844357005898734,0.746931146572104,0.71
98.75471698113208,7900,0.0,7.692307692307692e-08,7900,3.6351959705352783,0.71,0.6844357005898734,0.746931146572104,0.71
