metric_type,epoch,fold_number,fold_specific_value,avg_train_loss,avg_eval_loss,avg_eval_accuracy,avg_eval_f1_weighted,std_eval_f1_weighted,avg_eval_precision_weighted,avg_eval_recall_weighted
averaged_per_epoch,1.0,,,0.8488199999999999,0.8057020425796508,0.366,0.21778911175950366,0.06195155460748306,0.19824097682240255,0.366
averaged_per_epoch,2.0,,,0.8423999999999999,0.802132248878479,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,3.0,,,0.83768,0.8025367856025696,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,4.0,,,0.8364800000000001,0.8017746090888977,0.4,0.22857142857142856,0.0,0.16,0.4
averaged_per_epoch,5.0,,,0.8357199999999999,0.7980041384696961,0.396,0.2600151634232305,0.03930244287373532,0.25007115700391563,0.396
averaged_per_epoch,6.0,,,0.8286,0.7828297257423401,0.422,0.3237786298932087,0.08440235635197074,0.3177652519998112,0.422
averaged_per_epoch,7.0,,,0.80338,0.7490146517753601,0.46799999999999997,0.43513368950020315,0.031166275399522336,0.4651625111885278,0.46799999999999997
averaged_per_epoch,8.0,,,0.7745,0.70560222864151,0.562,0.5276596337913035,0.02888547903499775,0.5453232559943645,0.562
averaged_per_epoch,9.0,,,0.74078,0.6859823584556579,0.572,0.5442479381234093,0.03545170298713949,0.5372054834743435,0.572
averaged_per_epoch,10.0,,,0.72364,0.6745272397994995,0.598,0.5724652775806696,0.052048888314305944,0.5644751717270772,0.598
averaged_per_epoch,11.0,,,0.70464,0.6681740045547485,0.6060000000000001,0.5736753603855009,0.06785900371511633,0.576479966687075,0.6060000000000001
averaged_per_epoch,12.0,,,0.68996,0.6613360524177552,0.608,0.5727951877509602,0.03669345473466972,0.5728850487022189,0.608
averaged_per_epoch,13.0,,,0.68068,0.6524268865585328,0.62,0.5870959978278034,0.038629964744770484,0.5811145047907863,0.62
averaged_per_epoch,14.0,,,0.66756,0.654447364807129,0.6,0.569624309215404,0.05994584051060918,0.5706303117176775,0.6
averaged_per_epoch,15.0,,,0.66076,0.6491054892539978,0.612,0.5891054350696578,0.046545955698408664,0.6053173034919542,0.612
averaged_per_epoch,16.0,,,0.65598,0.6349741578102112,0.638,0.6203315557491067,0.047127258898856265,0.631192200423999,0.638
averaged_per_epoch,17.0,,,0.64402,0.6280184030532837,0.642,0.6252273934080284,0.035131547432035795,0.6457088385950248,0.642
averaged_per_epoch,18.0,,,0.63586,0.6217448234558105,0.6519999999999999,0.6377978929275805,0.0465842712485306,0.65213495578774,0.6519999999999999
averaged_per_epoch,19.0,,,0.62906,0.6130790710449219,0.666,0.65387852082122,0.04489537783915392,0.682318838756256,0.666
averaged_per_epoch,20.0,,,0.6288400000000001,0.6120673179626465,0.662,0.6504348773823503,0.06010296358974202,0.6835257104635731,0.662
averaged_per_epoch,21.0,,,0.61356,0.6076409578323364,0.6599999999999999,0.650645223911484,0.04025477801423535,0.6814131267784965,0.6599999999999999
averaged_per_epoch,22.0,,,0.61648,0.609619140625,0.664,0.6537162062412697,0.05246500702718279,0.6744890277973302,0.664
averaged_per_epoch,23.0,,,0.60986,0.609028673171997,0.662,0.6521112075138438,0.06727866513479189,0.6812448515141851,0.662
averaged_per_epoch,24.0,,,0.60354,0.6027421951293945,0.6759999999999999,0.6659481524362205,0.05833189536649836,0.6880648303653334,0.6759999999999999
averaged_per_epoch,25.0,,,0.59582,0.5990611553192139,0.678,0.6697885162665344,0.06645415714401035,0.6918840970357312,0.678
averaged_per_epoch,26.0,,,0.59794,0.6022266030311585,0.686,0.6730736621454751,0.06341545961024318,0.7055584880786583,0.686
averaged_per_epoch,27.0,,,0.5972799999999999,0.5982653975486756,0.678,0.6665581491226226,0.06228076058094327,0.6900416005743037,0.678
averaged_per_epoch,28.0,,,0.59354,0.6014128923416138,0.686,0.6790609299740888,0.04958273272666915,0.6974995205537468,0.686
averaged_per_epoch,29.0,,,0.5997600000000001,0.607301926612854,0.658,0.6485949988423203,0.06704549659048836,0.6692451653810972,0.658
averaged_per_epoch,30.0,,,0.58742,0.604878568649292,0.656,0.6466944986126617,0.0670282387387333,0.6660067268067483,0.656
averaged_per_epoch,31.0,,,0.59596,0.6035341739654541,0.672,0.6663848572862482,0.042564445599307076,0.6840481750187085,0.672
averaged_per_epoch,32.0,,,0.5911799999999999,0.6033884525299072,0.656,0.6495222124966159,0.05360654943078251,0.668061295105688,0.656
averaged_per_epoch,33.0,,,0.58646,0.6033615350723267,0.666,0.6596816318386229,0.05936155915462716,0.6747577259731298,0.666
averaged_per_epoch,34.0,,,0.58548,0.607419466972351,0.662,0.6540525504159379,0.034680384833153104,0.671117659101027,0.662
averaged_per_epoch,35.0,,,0.5912200000000001,0.6012661814689636,0.672,0.6636754172058084,0.05444842300417074,0.6784413995171571,0.672
averaged_per_epoch,36.0,,,0.5847,0.5988791227340698,0.6679999999999999,0.6605199194906016,0.06236958550513827,0.6777161734308603,0.6679999999999999
averaged_per_epoch,37.0,,,0.59094,0.5955275535583496,0.678,0.6696603172201725,0.03933005564756197,0.6859760505554933,0.678
averaged_per_epoch,38.0,,,0.58798,0.5915684342384339,0.6839999999999999,0.6752894828255643,0.04985974546533527,0.6912416182788849,0.6839999999999999
averaged_per_epoch,39.0,,,0.58516,0.5931003808975219,0.692,0.6830095060096688,0.04990470059717874,0.698975423145202,0.692
averaged_per_epoch,40.0,,,0.59012,0.5963595390319825,0.682,0.675239517937379,0.05156647218493029,0.6935071924174672,0.682
averaged_per_epoch,41.0,,,0.5889800000000001,0.5933598160743714,0.692,0.684904218802244,0.055073864809852206,0.7041404262231403,0.692
averaged_per_epoch,42.0,,,0.5866399999999999,0.5926451444625854,0.6839999999999999,0.6765794353643073,0.043036103971750166,0.6935933473504312,0.6839999999999999
averaged_per_epoch,43.0,,,0.58056,0.5930609941482544,0.6839999999999999,0.6758278862178316,0.04831499608947052,0.6926815640328586,0.6839999999999999
averaged_per_epoch,44.0,,,0.59094,0.5923743486404419,0.682,0.6742300459777745,0.04200167694231218,0.6908971139859026,0.682
averaged_per_epoch,45.0,,,0.58534,0.5947887539863587,0.686,0.6790387289003529,0.05384705465232179,0.6944434984112222,0.686
averaged_per_epoch,46.0,,,0.58396,0.5953195333480835,0.682,0.675491527168147,0.05998392179956032,0.6956099896077566,0.682
averaged_per_epoch,47.0,,,0.58438,0.5944963455200195,0.6900000000000001,0.6809926749691283,0.042806151833361325,0.6990875349528454,0.6900000000000001
averaged_per_epoch,48.0,,,0.58292,0.5912079691886902,0.6900000000000001,0.6831497803868889,0.052575497202706996,0.7006226410273345,0.6900000000000001
averaged_per_epoch,49.0,,,0.58866,0.5987821698188782,0.678,0.6700974682640338,0.04324657783485523,0.6880121263500467,0.678
averaged_per_epoch,50.0,,,0.5844199999999999,0.5947668433189393,0.686,0.6781500169540864,0.0579367338093236,0.693544444663303,0.686
averaged_per_epoch,51.0,,,0.58328,0.5943332791328431,0.6900000000000001,0.6810961085346138,0.051956746271458014,0.7003004809505485,0.6900000000000001
averaged_per_epoch,52.0,,,0.5839000000000001,0.5945410251617431,0.6859999999999999,0.6789545768284169,0.04167690971333759,0.6933476126341298,0.6859999999999999
averaged_per_epoch,53.0,,,0.58854,0.5967657566070557,0.688,0.6798818855175744,0.05549086821840222,0.7025780641060417,0.688
averaged_per_epoch,54.0,,,0.58604,0.592697024345398,0.674,0.6654417334252226,0.05083587149862498,0.683687388937923,0.674
averaged_per_epoch,55.0,,,0.5822200000000001,0.5962258219718933,0.68,0.6706248359805276,0.048339196164610014,0.6907846876075423,0.68
averaged_per_epoch,56.0,,,0.5863,0.5975871443748474,0.682,0.6736377503735153,0.050193099511139705,0.6944141928762896,0.682
averaged_per_epoch,57.0,,,0.5853200000000001,0.5943913340568543,0.6839999999999999,0.6759698728396966,0.04223597085695794,0.6923315784306202,0.6839999999999999
